sample_id,AC004817.3_T,AC021188.1_T,AC093673.1_T,AC243829.4_T,ADAM28_T,AHNAK_T,AKAP5_T,AL122035.1_T,AL158151.1_T,ANKRD28_T,ANO8_T,AREG_T,ARID5B_T,ARMH1_T,BCL2L11_T,BIRC3_T,CAPG_T,CD109_T,CEBPD_T,CH25H_T,CLNK_T,CRTAM_T,CSF1_T,CYTOR_T,DOT1L_T,DUSP1_T,ENTPD1_T,FADS2_T,FASLG_T,FKBP5_T,FSTL1_T,GABPB1-AS1_T,GOLGA8A_T,GPR25_T,HLA-B_T,HNRNPLL_T,HPGD_T,IER2_T,IGHG2_T,IL2RA_T,ISG20_T,ITGAE_T,ITM2A_T,JUNB_T,KBTBD6_T,KIF21B_T,LYAR_T,MALAT1_T,MORN3_T,MT2A_T,MYB_T,NEAT1_T,NFKBIA_T,NR4A2_T,OASL_T,PELI1_T,PIM2_T,PPP1R14B_T,PRDM1_T,RASGEF1B_T,RGS1_T,RUNX3_T,S100B_T,SGK1_T,SLC5A3_T,SOX4_T,TAGAP_T,TAGLN_T,TGIF1_T,TNFSF14_T,TNS3_T,TRBC2_T,TSC22D2_T,TSC22D3_T,TXNIP_T,ZFP36_T,ZFP36L1_T,ZNF683_T,ZNF853_T,A2M_M,AC004687.1_M,APBB2_M,AREG_M,ASNA1_M,C12orf57_M,C1D_M,C21orf62-AS1_M,CASP10_M,CCDC117_M,CCL18_M,CD163_M,CD300A_M,CEBPB_M,CEP57_M,CHM_M,CINP_M,CSNK1G3_M,CSTF3_M,CYTIP_M,DDIT3_M,DDIT4_M,DIDO1_M,DNAAF2_M,DRG1_M,ELMSAN1_M,FAM50A_M,FASTKD1_M,FBXW7_M,GKAP1_M,GLUL_M,GRINA_M,GSTM2_M,GYPC_M,HHLA3_M,HOTAIRM1_M,HTRA2_M,IFI16_M,IL6R_M,ING2_M,ITPKC_M,JDP2_M,KAT2A_M,LPAR6_M,LRIF1_M,LSR_M,MAP1S_M,MEF2C_M,METTL3_M,MYO1F_M,NCBP3_M,OTUD1_M,P2RY13_M,PDK4_M,PER1_M,PFKFB3_M,PHPT1_M,PIM3_M,PLIN2_M,PNISR_M,POLR1C_M,PRR3_M,PTPN23_M,RAPH1_M,RASSF5_M,RGS1_M,RSRP1_M,RXRA_M,S100A16_M,SCOC_M,SGSH_M,SLC12A9_M,SLC31A2_M,SMG1_M,SOCS1_M,SRGN_M,ST3GAL6_M,SUDS3_M,TBC1D4_M,TIMM23_M,TMCO3_M,TMEM38B_M,TNFAIP3_M,TSC22D3_M,UHRF1BP1_M,USP13_M,VEGFA_M,VPS13D_M,ZBTB6_M,ZNF282_M,ZNF503_M,AC084871.2_M,treatment,patient_id
BIOKEY_13_Pre,0.0,0.0,0.0,158.89091,0.0,2311.5005,200.54347,618.5989,0.0,749.0292,0.0,0.0,873.4617,604.85187,330.2801,801.2613,2089.7068,0.0,0.0,0.0,396.46912,0.0,618.5989,2480.8286,0.0,649.931,1231.5087,222.12978,1610.3523,1230.3475,0.0,396.46912,0.0,741.4624,10181.388,418.2245,222.12978,2761.2842,0.0,0.0,2691.773,2594.2617,4073.6067,5155.399,0.0,303.5932,841.25134,11547.275,0.0,4681.836,318.10162,2858.7676,1407.8882,1484.3282,1582.5208,0.0,0.0,1068.9994,651.70795,396.46912,790.471,3069.322,0.0,0.0,598.70166,757.2656,1341.7494,0.0,775.6899,471.14288,0.0,5045.31,200.54347,1446.1489,756.27954,3977.4253,2601.089,4124.273,0.0,475.33643,44.214844,0.0,0.0,99.72778,150.19165,162.22333,13.365828,67.81859,35.260822,90.66135,351.79987,107.35978,61.234226,99.344284,70.32669,36.454853,19.797546,46.11187,79.45598,55.757915,59.149906,61.891026,55.3831,128.3096,67.61139,71.46098,91.52845,39.839336,42.354908,785.78064,354.54587,26.287731,390.39093,38.747643,33.56611,53.85197,375.18567,118.15607,88.32484,0.0,11.249516,51.488632,269.37036,30.146116,24.505932,51.81078,397.16986,32.096935,246.50511,65.64575,33.389267,169.05183,138.55827,26.331074,99.518364,149.43933,41.441628,199.24736,278.81363,8.035371,60.882847,73.32781,78.57315,63.321182,318.69394,278.06967,70.61949,0.0,81.703896,53.4701,108.03826,103.97269,178.25339,0.0,809.5837,104.1182,42.43453,31.709631,98.67281,50.94359,8.035371,82.10041,129.45552,73.55017,0.0,0.0,52.275192,42.131413,14.058633,32.50634,0.0,0,BIOKEY_13
BIOKEY_13_On,0.0,554.0442,0.0,641.4423,0.0,2371.8848,0.0,347.29413,0.0,1284.7264,0.0,0.0,939.40594,670.07275,876.38654,294.1482,2069.1194,347.29413,258.71216,0.0,347.29413,1008.1142,1377.3667,3141.7769,541.82513,1409.2241,1235.8344,0.0,484.15216,2201.8464,0.0,0.0,258.71216,561.73505,8835.992,393.71756,367.04987,920.4927,0.0,0.0,3245.8643,2565.844,3013.0513,2976.6716,0.0,258.71216,934.0596,10105.4,0.0,4552.2485,367.04987,2063.5024,3591.6128,347.29413,0.0,294.1482,778.3004,518.6082,1936.148,0.0,2270.5876,1419.4779,0.0,0.0,0.0,0.0,1182.7883,0.0,0.0,606.0062,347.29413,3330.7544,0.0,4934.9365,4498.9277,4288.3037,1958.7886,3662.2405,0.0,407.791,0.0,0.0,27.338158,140.89388,60.60311,91.54639,0.0,12.712898,6.640291,1216.2948,399.16962,181.29718,124.84462,30.196432,6.640291,95.057465,38.52948,31.101866,101.518715,36.984596,12.712898,52.001553,7.4276156,66.68868,37.011658,35.31209,7.4276156,0.0,0.0,1862.5322,588.6559,0.0,125.94885,0.0,24.45411,18.023104,309.17737,34.404343,0.0,0.0,6.640291,0.0,54.985283,0.0,0.0,31.28342,54.367485,25.495142,224.44269,27.626703,6.640291,0.0,882.4355,65.487915,175.99005,107.72242,55.02971,776.9051,194.10284,0.0,6.640291,31.88919,0.0,28.441507,732.9634,238.69234,69.9523,0.0,14.067906,85.09054,6.640291,390.02426,115.66799,0.0,1278.5189,106.589745,33.97845,31.28342,97.41638,24.229414,84.74397,131.41888,485.62347,35.86912,0.0,37.261887,0.0,0.0,0.0,0.0,0.0,1,BIOKEY_13
BIOKEY_10_Pre,37.758286,0.0,0.0,287.63654,97.84007,1700.4866,947.87396,569.69696,37.241127,581.49133,91.7066,66.40001,466.69714,647.17554,378.7034,809.0308,1878.6243,587.39935,43.419052,0.0,405.2346,619.92474,941.2318,2065.6465,180.26112,779.9381,948.41205,75.683205,1741.285,619.03326,110.23282,350.20438,49.312183,1285.3666,8360.815,1146.3114,249.18213,2179.2305,336.7395,234.03233,1416.1726,2928.896,3219.469,3853.5164,108.24744,324.12796,431.16046,8353.959,37.241127,4103.2173,114.3069,1641.8007,1513.7751,1282.97,1663.8381,679.8431,357.216,1182.1576,694.6457,413.325,2087.9236,1675.6259,0.0,64.39544,699.116,125.44362,395.99063,357.01535,410.17535,948.9072,1181.6748,3203.7432,357.29947,1483.2115,1659.4668,2374.3933,3630.1628,3021.9731,22.318798,624.64215,87.173584,0.0,0.0,61.54045,192.4382,160.94072,18.350302,47.774437,52.12573,0.0,226.80647,77.64282,115.873604,60.72979,39.93039,59.248493,0.0,103.03666,0.0,130.99167,117.70646,0.0,53.542374,66.85954,57.830788,187.79489,28.561472,0.0,18.640854,613.0946,386.4456,0.0,274.80908,0.0,36.991158,22.25734,250.5189,66.31453,47.774437,0.0,94.97676,31.285038,234.58664,30.86141,17.673048,36.02335,248.78024,58.280693,257.07074,108.90874,22.25734,154.98369,29.868385,17.673048,0.0,212.451,44.157955,108.00433,207.36026,36.991158,64.584816,77.93022,70.17063,18.640854,46.911774,296.64282,109.99523,18.640854,136.67586,70.17063,83.22568,43.19015,114.32859,0.0,650.38715,99.1367,132.88593,68.49186,216.94005,18.640854,0.0,107.49103,87.10018,70.17063,22.25734,25.5171,104.32444,18.350302,0.0,22.25734,0.0,0,BIOKEY_10
BIOKEY_10_On,299.87784,90.833984,43.863453,752.5783,42.721153,1322.8306,916.6177,394.4679,29.861431,1223.0477,25.053885,636.05133,1089.6744,608.1116,594.40674,869.5264,1264.4525,374.90405,417.86548,53.079082,388.11945,549.9553,705.7237,2689.0984,120.21804,2522.3005,1310.3112,0.0,1268.4895,745.92206,28.466017,1168.123,281.04608,713.1024,7602.749,1285.8446,129.80673,1703.3105,377.63055,332.24255,2331.456,2882.974,2311.6091,3818.9539,22.758322,272.17065,432.64752,8374.331,14.82049,4577.5317,73.30184,2726.5906,1935.0645,1529.1453,1112.9028,806.3626,563.1772,534.8647,1904.2948,108.07275,3932.6536,1723.8119,17.415459,407.52094,326.50735,159.509,1161.0071,40.209785,934.17523,263.74515,965.46606,3434.1804,188.66548,3936.9683,2076.351,3744.3743,2899.1492,2601.0515,8.382197,0.0,0.0,0.0,0.0,189.94954,0.0,142.93414,0.0,0.0,0.0,0.0,549.24023,228.61923,189.94954,0.0,0.0,142.93414,0.0,0.0,142.93414,0.0,315.25693,0.0,0.0,0.0,0.0,142.93414,0.0,0.0,0.0,962.8213,290.01154,0.0,0.0,0.0,0.0,0.0,337.88562,82.95032,0.0,82.95032,82.95032,0.0,261.46414,0.0,0.0,0.0,142.93414,0.0,0.0,0.0,0.0,82.95032,261.46414,82.95032,82.95032,549.24023,82.95032,142.93414,142.93414,0.0,0.0,0.0,0.0,0.0,589.60767,0.0,0.0,0.0,0.0,82.95032,0.0,228.61923,0.0,0.0,626.98505,82.95032,0.0,0.0,82.95032,0.0,82.95032,0.0,596.2983,0.0,0.0,0.0,82.95032,0.0,0.0,0.0,0.0,1,BIOKEY_10
BIOKEY_16_Pre,106.29446,21.264273,3.809276,878.0337,121.87596,1249.6704,744.3248,311.97986,14.9207945,476.21744,26.117798,154.62128,642.5223,107.005226,459.13324,676.04254,586.3172,197.55956,66.78893,0.0,482.8953,578.96356,997.34924,1805.0061,122.09537,1456.0876,537.00336,5.185118,1820.8798,1861.6107,0.0,430.92065,92.41675,485.63043,9250.818,841.4772,81.6842,1531.8647,105.408844,46.525246,3753.9912,1783.4753,2792.6992,4341.4697,28.096886,362.03485,242.09065,11768.181,32.701458,4773.7295,6.401103,2013.1338,1125.3055,2512.5076,1679.1962,344.34015,758.53357,155.17726,958.5165,176.93564,3521.363,2129.7056,5.134172,228.77716,348.9151,52.81327,1067.2672,11.516308,483.9946,348.26498,359.43472,2937.756,213.0569,3063.6025,2530.368,3860.5408,3777.3875,1486.1128,4.7162285,368.84924,0.0,0.0,0.0,253.08981,501.3654,0.0,0.0,0.0,0.0,0.0,546.4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,368.84924,0.0,0.0,0.0,501.3654,253.08981,0.0,368.84924,0.0,0.0,0.0,444.7726,0.0,0.0,0.0,0.0,0.0,368.84924,0.0,0.0,0.0,546.4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,0.0,368.84924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,0.0,0.0,0.0,253.08981,0.0,371.6038,712.1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BIOKEY_16
BIOKEY_16_On,263.92618,71.436806,12.905731,964.01715,99.022484,1018.61346,761.93677,341.34988,11.423141,1107.4954,24.052559,265.98132,901.09076,280.45578,606.55194,509.6733,938.29297,294.85278,333.69052,61.70941,502.8347,627.884,1064.705,2235.5378,106.857605,2667.9248,767.1103,42.192703,1378.5424,2089.206,3.0168407,621.9732,132.98111,479.37302,7813.0645,959.7821,249.81917,1434.0233,78.42859,160.6541,3806.6533,2185.508,2664.896,3366.0715,24.545649,255.99776,485.77158,9346.342,15.500649,4782.9434,34.642197,2468.2642,2041.8348,1367.7466,1648.1036,626.3377,546.9879,278.33835,1481.9646,162.29773,3813.1335,1953.7518,49.999493,452.53366,322.39505,96.61866,1347.364,15.187944,564.175,227.27336,537.94086,2841.0955,160.90195,3895.041,3114.999,3614.737,2759.9236,1759.2997,2.1756287,0.0,0.0,0.0,0.0,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,612.9699,0.0,612.9699,0.0,0.0,0.0,0.0,0.0,341.71738,0.0,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.6971,341.71738,0.0,0.0,0.0,0.0,0.0,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.45645,0.0,471.45645,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.71738,0.0,471.45645,1281.3092,0.0,0.0,0.0,0.0,0.0,0.0,471.45645,612.9699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BIOKEY_16
BIOKEY_19_Pre,0.0,0.0,0.0,0.0,0.0,1986.6138,1836.2406,0.0,0.0,1264.3649,0.0,1703.9437,0.0,0.0,0.0,0.0,2558.4895,0.0,0.0,0.0,1264.3649,0.0,1264.3649,2990.293,0.0,3673.352,0.0,0.0,2418.417,0.0,0.0,0.0,0.0,1901.3201,9058.541,0.0,0.0,4111.577,0.0,0.0,1154.0522,3642.7256,4796.3257,6813.209,0.0,722.24884,0.0,10862.354,0.0,2418.417,0.0,1264.3649,2710.5442,6559.0806,3540.1843,0.0,0.0,1986.6138,0.0,722.24884,2710.5442,2727.4597,0.0,0.0,1264.3649,0.0,0.0,0.0,0.0,722.24884,0.0,4292.674,722.24884,3477.9824,2418.417,4770.5293,3299.3357,4491.367,0.0,840.4082,174.33727,16.02732,0.0,95.156876,317.88846,109.11678,8.893743,55.241913,11.984244,80.86911,336.18982,145.77646,307.47623,113.25193,71.17861,36.84533,31.720163,34.49031,67.71421,143.66937,126.55284,97.562965,42.87513,64.10498,165.29303,208.7255,102.039276,69.268555,13.0498,554.9313,410.34793,36.297386,328.42972,20.399685,79.03853,66.48897,400.04468,174.63258,68.68837,0.0,24.566006,96.78189,237.33118,38.348503,68.14868,76.23412,387.20526,56.966484,303.43143,102.27095,97.119316,241.3187,31.707798,207.18985,117.88218,147.29227,98.52726,61.656937,236.3165,35.23107,12.875964,85.892715,105.44699,86.72207,559.385,382.22403,92.134926,19.554417,119.18926,53.34735,76.74822,86.80826,230.34099,35.740158,801.4756,145.62822,41.683,97.23444,51.373665,36.544147,0.0,353.6657,534.90137,12.507189,12.831951,17.924206,44.26494,10.796912,24.86021,43.4549,0.0,0,BIOKEY_19
BIOKEY_19_On,518.76404,365.0489,0.0,130.65259,0.0,1070.9554,1192.7915,0.0,0.0,974.91846,0.0,971.38794,918.4161,1265.4353,639.1676,1557.337,1992.0154,526.86914,0.0,110.86265,324.39273,2004.0989,110.86265,2049.1824,83.54696,2688.0803,1060.9027,0.0,214.19954,2211.0818,0.0,1385.8859,530.50885,236.1203,8046.859,1443.0925,751.4941,1293.3492,0.0,354.18317,2040.0323,2584.4622,3594.1008,2493.6929,0.0,205.2808,399.02097,9447.221,0.0,2739.9927,439.11487,1737.2516,3804.9287,933.3972,462.2314,709.3169,750.3177,1208.7926,2114.5034,453.08762,4007.9248,1692.2252,130.65259,234.3963,418.947,0.0,2325.6772,0.0,1082.7489,0.0,895.4368,3588.3823,0.0,4924.7847,2763.658,5002.5625,2266.7231,2477.8147,0.0,653.7076,45.98509,0.0,17.484402,150.65884,217.27353,115.86996,0.0,13.449487,13.753492,104.79707,349.52884,152.22388,344.32764,65.977165,60.98792,47.054913,28.596094,13.235687,128.80988,64.44321,337.2683,51.166744,12.515721,40.118824,48.652206,102.66921,49.48248,16.569376,6.022542,575.16907,453.3865,32.651047,319.55524,18.168184,55.1829,42.75301,312.84628,128.09766,71.28766,12.878022,31.02066,43.86298,177.02301,29.553564,27.775639,62.954094,303.38986,26.42541,263.00845,78.928276,51.806602,134.78967,201.96446,193.5521,92.59604,195.82396,58.4446,191.51518,241.99626,15.329893,0.0,46.501488,61.832863,32.534523,756.8893,176.68132,51.059612,8.11625,93.524414,53.43964,95.46441,155.90645,176.37071,84.4849,711.39545,118.93433,56.417904,68.27313,57.447853,17.504753,37.42125,359.1455,589.69684,38.021496,7.763425,28.31172,52.122463,11.870642,0.0,42.66572,78.32481,1,BIOKEY_19
BIOKEY_28_Pre,235.0985,77.30023,0.0,530.7779,78.89105,1702.3656,1016.89703,522.77246,34.44962,761.5143,27.113913,623.81213,582.972,210.58792,366.39948,485.07727,2286.594,224.72269,104.36175,0.0,745.5226,364.9258,1251.9434,2219.3044,92.63533,1967.5181,1745.8497,146.58414,1635.4974,1191.7526,11.438614,709.3242,132.12315,968.6872,8796.726,753.0129,80.82892,2539.954,244.80164,154.80852,3462.9658,2477.1245,1340.6594,5077.4385,68.14173,213.25362,365.8679,9756.518,53.348824,5572.2104,22.174742,1848.071,1184.4358,2519.7356,2270.9385,338.563,638.8643,633.9628,852.1524,233.82458,3660.9663,2049.2942,26.3916,140.67451,552.5707,152.30574,1035.7697,116.02226,426.54282,682.3542,906.5163,3329.3674,285.3473,2860.0586,931.18756,3488.3704,3952.5376,3067.0815,20.790419,630.322,107.67775,12.112013,5.453827,123.03215,261.8401,101.569084,14.331566,21.083204,36.69065,2.6997488,294.11,227.71474,167.98883,57.888565,38.20056,70.483,56.076122,10.866777,96.07639,107.82445,182.88231,79.79926,51.965366,81.402115,27.947102,217.92146,39.7326,38.782867,0.0,712.2242,402.8117,21.097925,405.31543,10.474446,23.121918,38.06393,209.491,85.31628,56.917004,0.0,25.567488,27.503277,231.02536,37.80666,14.799096,99.88082,220.79385,23.070711,174.68509,57.39445,12.921838,100.708534,212.65123,65.40652,111.54307,271.07013,74.2134,382.05627,175.6242,13.822876,8.386613,53.00171,59.110493,93.472946,313.84308,364.58157,62.798252,40.52215,44.24349,43.737904,48.955585,214.0856,190.10532,38.37349,777.6231,84.07282,53.283077,24.889261,129.18806,53.12127,77.429794,148.77399,157.49844,19.143072,17.930311,5.6082225,59.281544,2.77839,6.3488235,49.175144,2.9533217,0,BIOKEY_28
BIOKEY_28_On,156.96886,98.8967,6.080937,1185.1713,23.3869,1343.5559,697.64,171.00371,14.145565,796.3768,0.0,467.25018,1087.6599,586.9891,530.062,978.66064,1364.0989,331.95663,366.4101,32.13787,299.41025,578.95905,354.91837,3099.9653,263.55475,2550.8484,1390.7062,110.90255,867.15857,1061.9137,0.0,568.6144,320.53964,81.81007,8474.127,1064.8451,172.95166,1548.2366,9.467959,585.5276,2282.3345,2036.7582,2268.0234,4374.015,29.234114,272.7538,697.0418,8828.116,9.652147,6096.8193,69.08906,3109.398,2874.6714,1057.7032,936.3524,771.07587,514.61285,210.43866,2665.903,89.189735,4594.1333,1537.4841,95.534904,230.06587,204.47821,57.146214,884.6305,55.68656,768.72217,123.826294,1173.2852,3816.4573,91.17996,3610.6716,2439.9363,4355.1074,2187.8706,856.8885,0.0,199.12654,113.894424,0.0,0.0,173.47946,42.98779,42.98779,0.0,0.0,0.0,608.12195,486.32587,229.74648,218.49167,62.72371,0.0,42.98779,42.98779,0.0,167.62776,0.0,167.62776,113.894424,42.98779,42.98779,0.0,159.93457,0.0,0.0,0.0,855.8934,459.77832,0.0,0.0,0.0,0.0,0.0,130.49167,0.0,0.0,42.98779,113.894424,0.0,264.8386,62.72371,0.0,0.0,199.12654,0.0,105.7115,42.98779,0.0,42.98779,187.41206,327.56235,246.14648,309.5708,175.43332,430.30588,187.41206,0.0,0.0,0.0,113.894424,0.0,227.2633,167.62776,73.517654,0.0,62.72371,62.72371,42.98779,230.47043,176.61813,73.517654,927.943,0.0,73.517654,42.98779,42.98779,42.98779,73.517654,147.14119,301.34726,0.0,0.0,113.894424,0.0,0.0,0.0,0.0,0.0,1,BIOKEY_28
BIOKEY_15_Pre,152.43419,102.13256,0.0,209.02054,18.26692,2149.3186,713.13403,480.11203,32.33125,428.85645,46.800156,296.08673,711.2312,227.02992,348.28116,589.4394,2294.1638,33.445927,167.65059,16.761665,357.97287,345.88348,760.5931,2326.0017,75.464485,1810.6885,1281.7963,32.028465,1786.9551,445.00558,61.950886,427.97665,67.95314,1037.3844,8540.421,870.3276,74.63535,2556.0417,85.472885,78.31372,2698.5833,2433.7388,1043.9884,4906.254,55.53286,210.00624,641.49817,9520.601,30.712658,5178.2866,17.380714,1243.7085,2196.1284,1763.3226,2134.0737,199.23412,287.71692,277.39175,630.8932,292.5841,2768.5703,1477.3217,66.40261,235.71112,375.90576,420.96097,604.0674,366.71793,359.36426,627.57446,178.26004,3861.6284,217.57481,1405.0504,1174.3389,3950.4827,3112.7886,3858.943,33.645466,551.05023,145.55682,30.015297,0.0,73.647385,202.04228,91.328384,22.60952,44.886623,49.549515,39.422222,267.00635,150.10365,264.60486,41.18898,43.653633,59.35317,15.916798,26.45871,36.61742,79.98136,64.91555,49.8107,42.713486,68.63417,81.91815,244.90877,0.0,93.53266,0.0,708.1448,406.18414,52.25489,208.57683,23.084864,23.519613,74.71868,446.6077,110.9746,53.893177,0.0,16.515402,111.40623,281.47693,34.488033,0.0,66.262794,322.03973,44.423824,233.1509,110.05849,98.806755,51.023838,219.06361,39.320587,132.42487,181.91617,96.22491,232.4124,247.97523,29.28041,22.036718,45.04054,155.22607,86.64807,312.53137,426.05786,129.74432,23.084864,40.84893,49.251453,106.17264,153.56783,197.19455,78.80776,785.21094,144.62411,99.01186,71.396805,53.72608,75.83136,45.538715,144.16132,178.1482,53.923676,44.886623,43.41408,45.919678,8.391267,31.196455,26.127235,0.0,0,BIOKEY_15
BIOKEY_15_On,563.8744,170.9443,21.676214,617.69446,11.324676,1351.7424,645.88354,337.32574,16.446983,820.06146,29.939928,1269.0194,1213.7219,441.81888,719.38776,584.93164,1860.1519,178.30144,238.66574,93.48115,415.86606,958.9542,490.00024,2738.169,160.66241,3815.27,1861.3315,0.0,1114.5814,1606.9902,0.0,942.08325,324.39984,762.76086,8870.837,946.3848,101.464645,2022.1826,0.0,175.53018,2999.3909,2479.3123,2283.795,4787.245,35.522957,191.14746,625.9339,8806.077,0.0,5529.772,93.61975,2128.5664,3131.4753,1247.9567,1558.567,614.8832,380.24167,280.2271,1462.3949,81.40826,4587.8735,1695.1854,65.21389,395.60614,293.3559,244.51024,1278.2257,146.91452,848.7202,331.68365,520.691,3481.975,188.74097,4855.4326,3073.4495,4903.2744,2131.351,3590.1543,0.0,311.35614,0.0,0.0,103.63262,103.63262,216.38765,0.0,0.0,0.0,0.0,639.64215,774.76044,311.35614,126.354355,0.0,0.0,103.63262,0.0,0.0,0.0,103.63262,492.9407,0.0,0.0,0.0,0.0,126.354355,0.0,0.0,0.0,773.9871,540.55804,0.0,0.0,0.0,0.0,0.0,103.63262,0.0,0.0,0.0,103.63262,103.63262,284.94672,0.0,0.0,0.0,103.63262,0.0,103.63262,0.0,0.0,126.354355,1087.6387,229.98697,395.08984,420.14166,126.354355,303.22522,229.98697,0.0,0.0,0.0,0.0,0.0,847.4021,0.0,103.63262,0.0,0.0,126.354355,0.0,415.98022,0.0,126.354355,741.4006,168.77031,0.0,103.63262,0.0,0.0,126.354355,168.77031,686.68274,0.0,0.0,126.354355,0.0,0.0,0.0,0.0,126.354355,1,BIOKEY_15
BIOKEY_12_Pre,198.53197,0.0,0.0,333.0892,98.82061,1609.1498,868.7708,588.6373,0.0,376.075,40.48601,878.8804,970.26776,312.5939,186.94331,987.1359,1130.2998,57.207523,174.90291,0.0,245.76453,1195.5856,537.6307,2488.5554,0.0,1611.7965,182.0632,137.72243,1364.4746,1363.363,94.80056,822.76385,43.915043,0.0,8150.631,898.7606,309.76566,2814.862,206.02786,0.0,2970.5215,2523.5957,2331.4756,4975.9976,66.82938,753.81665,762.2602,9648.785,0.0,5737.307,40.48601,2903.3037,1128.8999,2832.2766,1618.6025,282.09064,192.28879,1409.2773,452.9388,469.87466,2938.9402,1951.2594,0.0,57.207523,282.39117,226.74713,726.61536,0.0,98.82061,450.4775,85.33306,3322.8723,453.5308,2402.7742,1321.8707,3060.072,3132.0127,1700.3427,0.0,509.77945,115.79533,26.676754,0.0,190.59778,127.23487,56.233727,0.0,63.075096,26.962631,150.38153,467.08002,143.58311,233.13802,91.399765,113.94901,55.908512,54.79036,70.219986,73.98405,99.48646,153.65501,105.76715,16.640434,100.2387,72.49618,235.52472,13.536728,43.409954,43.547646,640.8692,408.79654,51.29863,285.3772,49.759567,103.35672,91.58053,279.83514,116.61812,29.87322,0.0,73.45925,106.019264,239.98149,44.89415,31.401993,57.425636,242.92491,22.510199,305.8727,106.470245,75.24742,143.27542,166.33391,115.58381,146.8305,136.2762,88.48275,291.67056,185.49248,43.603065,22.861614,89.17932,101.30695,71.97609,288.41016,249.60892,67.06605,26.962631,167.9315,16.629587,57.57084,147.63466,160.25908,12.476965,646.94904,75.38156,66.38424,121.34461,65.562065,94.79193,12.476965,268.90332,275.03226,97.10094,26.962631,0.0,41.59734,38.802307,12.476965,64.04398,26.81979,0,BIOKEY_12
BIOKEY_12_On,504.47083,127.56937,0.0,384.11026,0.0,1999.6725,764.6136,123.26325,0.0,726.4709,0.0,1822.5676,727.6141,467.7467,454.0565,722.6478,583.3057,228.81003,0.0,58.530407,130.97601,1066.6594,556.33655,2236.5437,301.76953,1962.7546,678.8121,32.879353,1209.572,1113.7081,0.0,962.42786,99.331635,0.0,7413.855,1039.4302,229.03383,1700.4287,58.530407,0.0,3830.7954,2115.654,1948.7509,4155.6562,0.0,235.86404,853.37256,8935.026,0.0,5751.136,273.76843,2221.0786,2598.315,2152.1008,1241.588,280.3856,708.48517,445.73923,1408.5538,285.2706,2604.3928,2155.1992,0.0,102.36646,270.44348,200.6908,1339.3324,0.0,448.4845,450.66653,472.5007,3038.698,384.5959,3284.597,1329.2268,4283.803,2273.6711,783.69525,0.0,567.3493,67.484344,0.0,20.787704,145.14885,88.47527,39.06726,0.0,53.937836,17.956762,474.2931,641.8568,229.89867,365.70825,66.16988,50.204933,92.859085,16.658123,24.443108,123.76917,51.85286,92.46013,79.58188,33.29146,50.641136,43.73553,91.16367,16.760397,29.659536,18.234858,647.79175,423.98654,12.7598295,301.32568,4.35939,22.581581,28.379965,350.54242,55.843468,11.673842,32.787426,80.01987,52.45157,113.87514,38.769722,14.646048,33.40637,311.69824,7.948687,159.07924,51.718357,76.301414,78.27362,832.562,251.60063,266.2885,303.7433,79.50006,321.96716,170.78325,21.35894,5.3448954,53.99001,47.928596,49.077953,424.8101,155.10318,91.740395,9.306495,59.582153,47.655327,79.42227,288.09198,186.16066,45.3555,889.633,20.30408,48.763046,48.571922,85.43458,72.425766,18.639875,360.9114,637.33014,49.981388,0.0,56.609806,53.15301,5.3448954,5.2664385,38.34454,47.867058,1,BIOKEY_12
