sample_id,ADGRG1_T,AHNAK_T,ARID5B_T,BATF_T,BHLHE40_T,BIRC3_T,BTG2_T,C1orf162_T,CBLB_T,CCNH_T,CD38_T,CEMIP2_T,CEP135_T,CH25H_T,CITED2_T,CRTAM_T,CRYBG1_T,CSF1_T,CST7_T,CTLA4_T,CTSL_T,DGKH_T,DTHD1_T,EGR1_T,ERN1_T,F2R_T,FAM13A_T,FASLG_T,FKBP5_T,FOS_T,GABPB1-AS1_T,GLIPR1_T,GNLY_T,GPRIN3_T,GZMK_T,HAVCR2_T,HECTD2_T,HMGB2_T,HSPA6_T,ID3_T,IER2_T,IL18R1_T,IL18RAP_T,IL6ST_T,IRF1_T,ITK_T,JUN_T,JUNB_T,KIAA1217_T,KLF10_T,KLF2_T,KLF6_T,LAG3_T,LINC02076_T,LTA_T,MAFB_T,MIR4435-2HG_T,MNDA_T,MTHFD2_T,NEAT1_T,NFKBIA_T,NR3C1_T,NR4A2_T,NTNG2_T,OGFRL1_T,PAQR6_T,PELI1_T,PMAIP1_T,PNMA5_T,PRDM1_T,PTPN13_T,RGS1_T,RGS16_T,RNF19A_T,SAT1_T,SFMBT2_T,SH2B3_T,SLA_T,SOCS3_T,SPON2_T,SYTL3_T,TAGAP_T,TGIF1_T,TNF_T,TNFAIP3_T,TNFRSF25_T,TRBV6-5_T,TSC22D3_T,TSPYL2_T,TUBA1A_T,TXNIP_T,ZBTB32_T,ZFP36_T,ZFP36L1_T,ZFYVE16_T,TUBA3D_T,ADAMTS5_Fibro,ANGPTL4_Fibro,APOLD1_Fibro,ARHGEF7_Fibro,ARMCX4_Fibro,ATF3_Fibro,BTG1_Fibro,C5AR2_Fibro,C6orf163_Fibro,CCDC14_Fibro,CDC7_Fibro,CDKN1A_Fibro,CEBPB_Fibro,CEBPD_Fibro,CEP126_Fibro,COL6A6_Fibro,CRABP2_Fibro,CRISPLD2_Fibro,CTGF_Fibro,CYR61_Fibro,DCN_Fibro,DDIT4_Fibro,DDIT4L_Fibro,DDX17_Fibro,DEPP1_Fibro,DUSP1_Fibro,ELF3_Fibro,ERRFI1_Fibro,F3_Fibro,FAM157C_Fibro,FKBP5_Fibro,FLCN_Fibro,GBP1_Fibro,GBP2_Fibro,GEM_Fibro,GLUL_Fibro,HERC5_Fibro,IGHG4_Fibro,IL18BP_Fibro,JUND_Fibro,KCNE4_Fibro,KLF6_Fibro,LFNG_Fibro,LINC01355_Fibro,LRRC24_Fibro,LST1_Fibro,MIRLET7BHG_Fibro,MT1A_Fibro,MT1E_Fibro,MT1X_Fibro,MT2A_Fibro,MTHFD2_Fibro,MYC_Fibro,NAMPT_Fibro,NEDD9_Fibro,NFKBIA_Fibro,NR4A1_Fibro,OGA_Fibro,PCDH18_Fibro,PER1_Fibro,PGR_Fibro,PHLDA1_Fibro,PLCD4_Fibro,RAPGEF4_Fibro,RASD1_Fibro,RGS1_Fibro,RGS2_Fibro,RHOB_Fibro,RND3_Fibro,SERPINE1_Fibro,SFRP2_Fibro,SGK1_Fibro,SPRY4_Fibro,STOM_Fibro,TNFAIP3_Fibro,TNFRSF25_Fibro,TRIM66_Fibro,TSC2_Fibro,TSC22D1_Fibro,TSC22D3_Fibro,TTLL3_Fibro,UNC5CL_Fibro,WARS_Fibro,WDR6_Fibro,WSB1_Fibro,YOD1_Fibro,ZC2HC1C_Fibro,ZFP36_Fibro,treatment,patient_id
BIOKEY_13_Pre,0.0,3165.9587,814.04,2088.0442,1204.8748,1415.704,655.74097,329.1111,856.9247,173.75658,0.0,707.2113,193.77908,0.0,211.68999,0.0,193.77908,0.0,202.30354,1742.9117,1174.0049,301.28638,0.0,176.12868,0.0,0.0,0.0,0.0,3848.97,3103.518,327.68643,933.8208,108.53439,968.2263,0.0,182.09166,151.2188,1457.7264,0.0,1285.2488,1275.1362,388.41388,0.0,409.62012,1457.5863,1462.504,2620.164,9345.189,371.98303,194.6413,0.0,1308.2429,571.3842,0.0,1325.2803,0.0,523.92926,0.0,580.83777,1134.2064,4356.402,6285.057,1202.6587,0.0,0.0,0.0,1143.5956,111.378746,0.0,0.0,318.12183,3006.857,1022.7455,2216.1719,1322.1145,0.0,176.12868,2685.6191,819.60016,0.0,275.70105,528.272,1349.4768,569.25006,2589.2827,2231.704,291.14166,5474.709,546.5088,1099.9924,1496.7854,0.0,3061.769,5987.295,491.40363,0.0,447.23407,102.94672,35.710346,575.9052,183.4645,127.82798,1286.0895,26.77805,28.517078,474.44638,71.15831,503.48886,493.14618,294.84958,284.92926,105.04932,1506.2173,2168.9175,1283.8575,1396.719,3633.0066,420.97998,91.75865,2556.4219,574.6989,1289.7142,3.2227104,248.6845,240.51456,0.0,355.44894,229.91214,762.48206,677.5366,1514.6938,1417.9465,192.98628,26.27643,448.09402,818.3014,368.21973,1631.6051,68.34624,100.24247,8.949075,17.77735,287.37683,122.38903,1153.1481,1042.8827,2273.6047,429.01428,372.46783,447.8045,148.16727,1323.7773,245.51007,877.0458,996.7629,163.77864,94.801476,567.2456,36.426743,16.534832,311.64243,18.806028,110.46532,1351.0404,608.6305,329.44574,3495.2798,147.15454,150.19058,1567.4813,344.41537,50.366154,87.50377,487.69608,1612.2378,1166.0573,340.057,4.312058,701.00543,646.2488,2394.1145,86.7606,31.248917,1558.4779,0,BIOKEY_13
BIOKEY_13_On,394.61026,1578.8204,2273.8838,2795.0093,736.7986,1928.3279,460.67838,0.0,2424.3567,1681.4448,0.0,2082.1094,0.0,0.0,1099.9178,0.0,2046.0457,0.0,1270.397,3915.146,0.0,460.67838,394.61026,0.0,0.0,394.61026,0.0,0.0,5136.47,0.0,1039.1298,997.4838,0.0,1820.8712,0.0,0.0,338.98117,1936.8873,0.0,473.55005,0.0,300.25827,0.0,4083.2964,0.0,2241.1243,1283.5598,2171.3594,0.0,0.0,0.0,2005.9824,733.5914,0.0,0.0,0.0,2004.5046,0.0,694.8686,3519.0464,5263.704,4003.8315,0.0,0.0,0.0,0.0,1987.8994,457.93774,0.0,1370.1069,787.63336,4430.3354,0.0,3701.177,2388.509,0.0,0.0,4682.5776,0.0,460.67838,0.0,2045.2307,1578.3109,338.98117,3025.0793,2157.3958,0.0,4258.09,3151.743,300.25827,5710.595,0.0,3251.9524,4406.3223,0.0,0.0,330.11453,306.28708,260.5096,707.64734,232.63345,483.8513,1249.2957,57.746616,45.385723,590.2642,88.83908,878.3212,1006.7265,938.4587,216.99898,0.0,448.4197,2017.4149,1926.9459,1697.3162,2073.3025,933.92114,0.0,2139.2676,872.4101,1815.0051,0.0,618.34796,505.60025,0.0,1169.8402,278.63065,868.35126,814.1151,1276.1394,1313.335,198.61168,28.376286,301.0762,748.612,1184.9764,1870.0961,56.137085,82.728035,31.433756,0.0,185.2859,492.657,1766.4319,1473.4822,2759.422,967.2852,1051.9713,612.5586,405.5498,1709.5801,943.8099,712.71564,580.0164,820.1501,93.133766,1197.8037,0.0,27.43314,680.8015,0.0,158.40369,1800.1174,613.5087,446.66452,1812.9885,171.1254,390.4385,1831.4941,366.0545,29.299828,108.739174,492.13257,1853.3208,2343.118,212.7586,0.0,551.6331,555.501,1842.8402,89.62567,43.011833,1891.6443,1,BIOKEY_13
BIOKEY_10_Pre,1456.9789,1803.4988,842.3711,1861.5559,2611.8074,1432.3514,1201.3706,37.841007,1373.103,539.75195,297.00873,715.2213,258.7231,5.77251,819.26447,33.693394,147.33945,961.60443,2661.4678,1469.5284,1260.9995,336.08353,82.97885,417.02466,165.18596,834.96246,32.055435,1055.4,1261.0602,1057.7758,594.52673,963.84863,276.64178,909.6953,45.010593,1428.8965,289.22217,1221.8008,49.84923,363.5896,1816.7638,206.64491,153.45601,412.6874,1877.9917,1091.2369,4380.978,4382.8003,158.69583,541.7176,13.752058,1758.1711,3294.5754,0.0,1068.9482,22.711544,1406.113,27.116179,1365.7537,1703.4421,2430.4543,2685.4392,803.60254,24.015831,34.432262,0.0,749.7832,134.55722,0.0,1083.6306,434.9635,2882.1052,1820.3167,1840.999,1565.7429,275.4672,34.62457,1933.2145,450.7106,126.588234,387.77917,277.57315,670.0124,1342.2528,1973.5826,1479.4608,9.682526,1660.058,480.95407,897.0768,1921.4141,55.006252,1896.5833,5021.879,243.85022,0.0,667.4809,322.1475,128.47675,560.9751,162.1221,202.30913,1018.4131,23.693214,15.558602,678.2378,41.36817,786.46875,759.3554,495.80673,202.36627,84.95156,552.8408,1472.3391,1574.8103,1351.8721,3267.3188,574.57806,13.4958105,2258.8484,452.06458,694.2947,49.260536,550.5296,210.29416,0.0,159.1876,182.71178,1667.3406,1226.971,575.3567,1326.1414,310.3874,129.48657,634.6142,494.63986,473.67865,1469.9261,117.600494,242.2485,53.199825,64.88525,406.91605,50.23898,1626.7649,752.43787,2311.8816,621.088,239.36305,610.6859,195.16847,963.6896,67.076744,1028.6595,449.13782,170.45213,99.257385,679.2107,22.029226,30.4817,112.66651,92.23255,246.9068,875.9868,506.65433,364.03986,2572.4553,231.29834,236.51718,1428.4211,290.3269,72.847855,108.88977,577.1828,954.449,848.64215,260.39297,17.900757,1240.6566,660.58276,2220.9553,89.67213,12.050442,989.4846,0,BIOKEY_10
BIOKEY_10_On,1675.5183,1419.3469,1809.6962,2548.1748,1729.4846,1505.5818,641.3796,64.73053,2302.619,818.6865,654.128,1622.6157,290.49023,224.21892,1394.4988,76.29795,718.2127,465.57504,3278.1443,2676.6492,280.42947,559.64124,242.9114,241.50658,655.3846,780.76587,137.37474,400.15085,1906.4302,1275.41,989.1961,821.57367,559.0223,1272.2548,59.51037,1559.9576,377.48434,1875.6049,50.94359,187.8807,1167.0421,229.9937,245.22142,1625.8015,1150.8995,1174.2571,3309.2524,3555.2375,67.2126,118.1193,59.32171,2424.245,3429.484,28.923384,527.3763,55.938175,1827.0276,45.771038,1858.089,2677.6917,3701.2898,2946.447,461.2224,52.686554,158.28206,26.38907,1176.564,848.99567,17.123451,2848.2788,913.4566,5018.5903,340.0507,2080.7222,2240.687,456.7107,19.311884,3204.4426,320.06735,146.62155,925.46924,1074.9874,1538.7369,811.5045,2721.3044,1014.07184,47.032063,4591.6514,922.1058,784.4589,3622.49,246.40874,4332.005,3394.4495,147.58537,105.68537,480.34488,329.79272,137.21977,576.51965,140.30234,327.76025,1463.6864,41.859386,0.0,601.6701,118.92893,1108.3999,1514.2322,1117.8485,85.560936,213.87953,568.43634,1652.9664,1708.7146,1839.5392,2745.9536,1206.705,0.0,1872.6008,951.4467,2142.8896,9.750946,802.8848,282.07507,0.0,343.861,177.46904,2116.9526,1652.7639,1088.3964,1714.4001,266.1734,77.64127,1268.3687,719.27875,695.3368,1911.4634,81.4749,197.83316,11.458355,56.850395,312.72147,67.98345,1576.2506,958.01904,2267.2993,662.7069,638.43805,660.135,290.40057,1570.637,255.84401,938.9693,491.90207,343.18433,93.202194,991.29,60.64899,11.108857,498.25024,225.63284,279.28357,1282.0668,837.9539,650.7853,2050.879,334.73154,283.53143,1678.4186,599.04126,43.614605,73.54876,540.37683,1528.1497,1950.4148,335.967,11.458355,1766.9622,624.3321,1849.5359,19.490225,29.14647,1833.4662,1,BIOKEY_10
BIOKEY_16_Pre,644.16876,2057.7095,1550.8035,2112.12,1131.745,1703.812,868.909,290.63647,1553.8528,791.3521,689.6055,1348.8899,299.48584,16.267012,672.0197,42.650677,646.0257,394.04324,1270.4468,3100.7961,232.35631,525.7254,248.96805,182.06224,326.63644,393.40152,139.61366,231.90395,4369.681,1855.082,443.45813,525.27563,464.7272,1486.518,271.57913,573.388,114.75999,2266.4858,0.0,259.13275,1502.1101,236.87163,73.89296,2243.6768,1073.9222,1384.496,2000.9906,5882.5967,65.8248,87.22931,44.568474,2248.8955,1787.1062,0.0,793.722,32.43454,1173.3478,27.83159,1560.7352,1752.9738,3152.3374,4568.2,1292.4607,19.82493,69.97286,0.0,705.4955,457.00925,0.0,1172.0747,702.9815,3450.2366,307.17664,1974.134,2799.6294,157.86871,72.27735,2287.8389,604.98065,315.71213,532.312,890.655,614.2394,1124.092,2376.7637,1428.6906,328.41977,4508.629,433.54025,763.42255,2854.6272,71.67211,2441.8284,4529.303,134.4528,0.0,498.56747,227.4719,73.38031,537.05615,248.9547,170.11853,1294.4852,42.374092,0.0,634.5175,135.71208,632.52673,1687.7491,831.9,116.0012,206.56143,841.28406,2056.398,1877.8004,1488.2954,2967.7478,736.97473,101.14075,2479.7524,614.7079,1387.9528,0.0,1170.9911,712.3035,0.0,623.69916,132.78012,1883.3207,1255.5696,1181.1406,1492.9625,449.29767,364.46542,896.4715,1030.5957,558.3543,2052.514,132.43361,163.95142,36.532753,40.21815,532.14825,101.44642,2064.814,1065.3812,2878.141,771.11487,409.449,561.01294,208.69592,1028.3007,159.29486,1118.1633,864.6728,459.66913,187.97205,779.26245,40.094917,0.0,203.94994,81.2397,208.35776,1276.2288,572.594,760.95123,2563.0337,237.1967,309.65775,1340.7957,436.91357,41.27575,77.06716,543.2755,1711.0536,1828.3113,183.51357,0.0,1379.1627,476.2805,1724.5936,159.49925,0.0,1530.633,0,BIOKEY_16
BIOKEY_16_On,912.59143,1436.232,1913.3204,2988.9307,817.0093,1803.657,522.13116,194.78928,1773.8451,991.96625,808.7434,1451.865,314.10233,305.32745,1507.3015,58.517235,1053.1093,399.5525,2010.6875,3007.8215,262.32062,496.40482,435.26416,140.27379,616.1592,593.40405,124.0885,122.27972,3953.4658,1453.7552,621.97675,855.34344,1273.127,1587.0972,342.53082,953.9775,520.3534,2933.0562,23.373486,283.34885,871.8336,313.69653,55.623116,2836.493,924.34875,1573.0148,1904.8234,3304.5938,57.029716,106.87217,213.72182,2194.3472,2882.6191,4.9210315,501.7316,126.55919,1844.8008,53.88414,1834.3832,2877.8218,4382.2666,3368.1807,357.68042,25.605259,252.65778,24.886934,1129.1101,608.13306,40.779808,2053.8994,898.4335,3995.3738,95.10699,2514.5405,2773.26,305.3319,22.783798,3008.762,276.28464,358.0772,824.9127,1367.6206,869.2225,483.65283,2744.723,995.414,155.83012,4298.571,994.8124,712.34607,4096.065,136.81165,3376.727,2484.6921,154.51886,132.99846,388.79596,332.81613,526.62744,602.83826,129.35915,789.6533,1785.1683,71.329384,0.0,294.4662,64.73308,953.2168,1505.9987,2065.1921,140.71785,0.0,1107.4088,1817.645,2405.9612,2437.1855,2661.4685,1744.8262,0.0,1865.4601,974.93,2245.184,0.0,1178.3466,252.52238,0.0,759.8751,0.0,1876.3164,1343.4016,1953.6862,1842.0763,72.475395,82.57514,681.2072,1121.0052,1064.3445,2371.6606,0.0,130.50653,0.0,131.37851,151.39204,291.69995,2168.8384,1525.5272,2893.133,589.04047,833.2189,843.14856,467.94415,1952.8619,1049.7794,874.0375,818.9746,1451.1301,87.4113,877.4468,0.0,0.0,1139.4076,408.22,484.02206,1560.944,1264.7145,913.80597,2414.8584,322.10013,396.06848,1262.5322,552.26434,0.0,54.457428,312.3683,1828.7446,2377.4084,84.88084,0.0,1329.0317,546.8574,1693.7561,0.0,72.475395,2434.5283,1,BIOKEY_16
BIOKEY_14_Pre,0.0,1575.07,1587.1578,2657.4958,1085.725,2797.1794,1907.5781,795.92664,439.8979,547.5314,0.0,1376.6819,271.1729,0.0,777.35345,0.0,94.40839,277.80853,571.12134,1340.6698,648.7544,255.65189,142.81491,469.14398,0.0,255.94322,71.47197,0.0,3391.0544,4448.001,459.80865,611.7027,0.0,889.42584,154.96294,0.0,41.857044,1668.5435,0.0,1055.6327,2290.9612,234.56824,0.0,1303.7039,1814.8966,1084.6339,1103.8575,7408.167,175.54028,84.898796,0.0,2370.633,566.359,0.0,1246.7344,0.0,285.64203,0.0,681.5447,2106.45,3835.289,4211.525,2224.576,0.0,117.758064,0.0,679.6651,349.67798,0.0,156.25392,233.43135,1524.5365,485.25613,2142.9246,2667.122,102.67048,387.38702,2689.601,1033.3425,306.19208,175.54028,396.56628,680.7232,1382.771,2124.2236,2954.3298,401.56976,3395.7234,677.50073,1503.2579,2635.104,0.0,1915.8068,6051.4004,286.5918,0.0,232.74005,231.65852,103.61481,467.00473,156.05273,706.1211,1408.8054,9.131933,15.477762,518.4187,141.56459,1074.5212,441.1515,279.69455,378.12463,104.36509,1006.611,1247.5511,1403.6477,1241.5538,2667.5193,821.86615,80.83254,1755.3074,819.0761,1654.4454,0.0,521.5799,332.49667,9.926694,452.67172,129.91461,647.268,859.66376,1679.9714,1581.187,231.95992,118.496284,350.2168,696.2239,720.71454,1366.9119,92.815895,76.43983,0.0,42.585087,195.00452,275.78693,1615.182,1275.0532,2705.4495,1005.94293,760.6263,568.48773,182.32446,1703.4297,476.43335,811.30133,547.5956,321.46292,104.94727,814.6279,57.57663,0.0,420.40012,9.86312,191.03845,1537.689,490.88196,219.63434,2170.4326,314.13025,225.95473,1705.5916,340.16095,19.650928,47.938583,326.63342,1926.276,1589.2365,296.09995,32.259434,727.25653,605.0109,1895.6237,91.324455,9.131933,1978.6835,0,BIOKEY_14
BIOKEY_14_On,590.4257,1880.4427,1914.8469,3077.3008,1045.3457,3006.6245,1945.515,250.38081,1148.5785,1112.9717,255.65695,2546.6238,164.15366,949.2911,1795.4102,0.0,3182.1526,0.0,1456.0875,2879.5378,746.81213,295.4084,142.24252,80.76489,999.78284,376.21014,348.7264,0.0,3799.5972,3327.7556,853.2349,711.7882,1234.6597,2280.3684,552.82526,494.04514,493.1889,3170.2512,0.0,0.0,1052.4193,319.1154,0.0,3303.419,1017.7791,2312.1533,945.00165,5957.0674,0.0,0.0,646.8275,2454.6047,948.69885,0.0,539.3898,0.0,1037.9575,0.0,856.4074,3465.1216,5044.7407,3935.535,1253.9783,0.0,215.43275,0.0,1159.369,958.45734,0.0,1466.5939,1090.9398,3048.4329,311.87305,2683.6812,2866.574,83.929634,63.448235,3187.2517,372.33124,667.6562,448.3706,1638.3397,1201.9849,618.69086,2301.436,1259.7924,354.38928,5777.9214,1867.9229,766.90826,5635.741,97.51956,4861.408,2380.544,261.40314,901.82733,407.26593,1293.6107,410.31775,899.51843,127.52892,778.9605,1770.4061,38.16595,0.0,410.6065,175.73529,1718.3516,1962.5502,1816.6704,212.37865,0.0,822.50665,1683.9937,2077.06,1819.3312,2373.2139,1110.5846,0.0,1841.8925,1186.0717,1849.8186,37.293983,1105.9539,776.689,0.0,1080.5833,125.87855,673.1602,507.63937,1804.8983,1622.957,128.05759,21.480675,274.16916,1228.0865,815.43207,2039.9836,48.796223,124.658005,0.0,0.0,321.38123,493.06174,2419.3484,1796.4746,3059.2861,1012.19293,1153.8094,780.95,445.80353,1651.3447,983.39435,942.3496,435.14844,1271.9299,0.0,1507.0712,0.0,0.0,605.6253,34.91365,432.4387,1755.4896,857.28925,1225.3068,1584.19,375.96252,302.78174,1934.4302,461.36127,0.0,0.0,295.60834,1841.7177,2304.005,232.65845,0.0,558.6227,683.0525,1722.7643,21.222523,49.55628,1998.6255,1,BIOKEY_14
BIOKEY_19_Pre,0.0,2671.4507,1037.0603,2254.2307,1461.1969,1063.5287,1093.7852,924.066,990.77893,606.51385,0.0,1298.8768,423.07288,0.0,1031.0087,0.0,811.12476,318.7179,427.00623,2543.2368,1779.1655,206.15915,0.0,563.941,304.45514,0.0,195.09596,240.72491,2954.1548,4787.7285,510.61432,323.2882,0.0,195.09596,0.0,0.0,206.15915,1093.345,0.0,561.73615,1646.3757,423.07288,0.0,1131.6603,585.23737,821.30835,2495.6746,6083.1973,318.7179,372.58484,391.28815,2364.458,593.0395,0.0,1153.5409,0.0,633.4605,0.0,509.90585,2232.6226,3246.3708,5501.6836,2695.3562,0.0,0.0,0.0,878.6605,235.40936,0.0,212.65251,195.09596,1791.6648,716.9562,2093.3374,331.59982,0.0,543.70825,2881.471,427.00623,68.311,195.09596,957.7753,935.38995,789.5812,1871.2363,1933.8588,1835.2427,4543.2427,522.407,1269.8682,2220.9094,0.0,3208.112,6782.4756,304.45514,0.0,546.70544,242.77165,52.13739,448.52258,279.80594,481.4674,2366.649,0.0,29.596788,535.5791,36.58341,868.4743,1156.5569,2135.2664,397.66177,229.98602,1592.228,1546.756,1509.3402,1919.6746,3452.5115,1331.3326,52.832813,2473.5825,634.65155,2346.7925,70.3432,440.08307,131.97975,16.140593,439.44968,205.15054,454.152,643.96545,1269.843,2026.1637,340.57516,8.815631,173.41898,807.4778,296.5536,1610.0527,133.3099,66.96381,54.198757,3.9486845,209.91208,373.53406,1727.3684,1152.9718,2567.7803,509.67227,648.17865,480.41885,98.14372,2223.7402,887.154,896.01556,1496.2133,890.1834,263.4958,556.03033,8.341659,0.0,1539.9955,35.224472,215.46477,2146.7166,1163.5668,603.4847,2928.7825,231.4154,289.4756,1451.4606,384.42642,57.935898,52.7636,470.5871,1882.4213,1936.3109,355.12695,4.24778,406.41006,723.18494,2482.2844,67.41251,29.495432,3141.6401,0,BIOKEY_19
BIOKEY_19_On,263.14462,1713.4922,1307.0667,2734.047,1021.8761,2021.4655,567.46063,234.65456,1269.722,966.6054,224.50278,1741.5123,150.77676,174.42813,1142.4619,0.0,1181.1998,118.09649,1040.9658,2410.0537,682.7285,642.2356,175.58862,345.20145,216.72078,230.69145,94.11607,41.009235,3218.3223,1554.2383,834.5938,710.9745,42.200672,1362.7573,54.849934,182.81398,336.24603,2137.1855,0.0,282.15372,957.48834,300.484,25.157936,2193.1733,531.66266,936.8355,1096.8779,4098.7954,0.0,69.42822,409.49854,2177.0513,1148.4655,44.639744,379.2898,0.0,1103.6917,33.73152,1412.0303,2194.558,5063.1523,3005.9631,508.5588,30.1177,103.33009,0.0,1291.4872,686.12164,72.81795,536.9332,160.13171,3291.2122,88.00295,2317.8562,2020.9825,242.89427,47.368454,3341.481,268.75125,200.61246,295.7996,1487.2976,630.084,344.29898,2372.923,1190.9448,332.06757,5345.617,1345.8235,390.33362,5545.797,245.91806,3947.3027,2805.123,58.79865,562.54974,449.70572,194.67204,296.20447,666.1284,186.13084,369.02588,1612.0942,8.084261,11.526651,446.95877,54.11693,873.3643,1810.9648,2038.8579,365.13568,198.31265,1008.5774,1838.2192,2285.6123,1779.526,2985.3745,1359.1918,55.515076,2105.8413,833.0735,2167.1047,35.976727,562.0787,711.91235,3.9597716,564.2861,212.47725,983.62213,929.2999,1782.1975,1672.1268,196.56499,26.65774,513.1914,1153.2063,699.0064,1816.3374,133.51877,83.34735,32.6469,39.507355,222.33075,405.4884,1969.8577,1414.4548,2694.8098,633.89,943.48975,484.83624,275.745,2086.5142,773.18225,873.859,914.05225,987.34033,151.8775,1010.38043,19.743647,0.0,891.2836,74.46384,205.8871,1748.304,935.707,801.674,2513.0046,221.6074,242.39,1382.4146,437.87283,41.041744,108.21069,416.04367,1766.2657,2235.4485,241.66965,0.0,689.16925,699.0883,1891.5952,58.963238,17.015558,2485.8447,1,BIOKEY_19
BIOKEY_28_Pre,796.0734,1844.1292,1543.487,2170.6482,2211.9756,1413.0485,941.3776,311.66183,1567.0148,543.88385,464.8449,939.54144,251.35855,0.0,1008.1397,0.0,161.76738,761.5417,2542.528,2977.5193,223.59726,320.40735,106.14442,273.9794,236.63878,385.71942,95.753044,578.1905,2236.9644,2035.3987,381.29553,780.9116,941.85016,1340.253,0.0,858.1974,156.10704,2191.8428,85.42571,401.8399,2349.7253,341.12665,94.78829,666.7458,1296.7734,975.1815,4123.4434,5704.9653,130.32574,278.70267,32.972385,2195.2258,1822.012,0.0,813.0608,0.0,1105.5514,0.0,1130.2103,1716.0193,1900.7595,3543.3855,1472.7375,0.0,0.0,0.0,369.15048,385.5308,0.0,1174.5867,797.4465,3210.3037,842.4486,1920.7035,2040.3126,90.051056,0.0,1887.2487,792.21545,83.465866,843.6704,715.02655,773.2836,1248.3383,2527.8455,1256.8326,395.69965,3287.8958,365.40793,789.56635,1210.2982,83.338974,2403.7744,5416.185,231.23773,0.0,490.0045,586.08997,271.96155,609.4861,151.9254,753.1899,1891.6854,0.0,41.487957,447.8257,96.09491,718.5127,767.12396,778.984,276.62717,206.6168,551.1996,1390.6986,964.84485,1182.2672,1904.0918,1008.92303,15.480853,2182.1526,1215.1161,1774.3408,65.79612,732.6505,326.80203,0.0,885.277,110.84432,918.8514,892.31335,996.2561,1657.9973,390.0081,153.38193,425.77728,737.8838,660.4596,1509.0808,43.129875,117.89623,15.416688,19.613138,117.98445,510.44022,1872.9329,1376.5555,3131.3628,1196.3518,749.5658,665.8491,182.03978,1232.2628,783.2293,785.8083,1002.26666,393.67816,143.08871,1249.4932,71.49093,0.0,942.03937,133.65172,107.47377,1501.9034,470.35846,143.54355,1334.9532,203.51183,313.5661,1899.592,252.33455,38.05929,76.38615,439.2741,1847.44,1470.3752,326.11737,11.988204,460.18173,547.97314,1801.4048,86.67861,28.292143,2607.5896,0,BIOKEY_28
BIOKEY_28_On,421.57397,1528.1072,1651.0667,2522.34,1912.4481,1573.8351,760.0885,109.26003,1851.8657,973.22516,1420.9487,1452.7847,298.6553,109.06447,1189.6808,132.01518,652.4395,286.82364,3714.0754,3748.243,254.52054,395.80563,289.89496,306.5809,767.6984,611.04425,194.13268,197.08623,1986.3855,834.14667,649.37524,1247.7922,2497.5557,1335.7736,242.1093,1157.7592,207.20992,3499.3635,212.707,240.34245,1044.6289,205.49043,331.61856,1540.4186,680.6759,1222.0696,1879.2491,4929.111,10.51995,126.52915,69.70623,2276.1384,2341.6875,26.450268,549.5459,37.163498,2377.0125,29.951443,2653.5137,3514.4526,4524.954,2895.885,447.07925,75.22982,93.80607,28.456947,1189.2577,333.575,47.606632,3360.2034,840.4503,4940.317,256.5181,2040.4153,2254.772,334.36197,25.30544,2825.7861,566.7348,117.971535,1328.7626,771.8751,1196.8713,526.74615,3448.2595,902.0645,53.24665,5051.3975,453.1634,906.4633,3932.062,129.78288,4124.5957,2329.8203,130.56454,26.831675,53.45927,1980.5168,223.08076,822.649,182.05067,1021.01056,2260.902,0.0,0.0,370.7875,196.91168,1084.7947,1395.3036,1309.3677,126.18453,0.0,194.55045,1310.6869,1541.1467,1998.3372,2188.664,2883.3064,0.0,1707.1268,1555.8158,2169.618,0.0,2184.1199,1424.2355,0.0,767.6829,65.1151,1446.0691,763.7039,799.9759,1978.6432,115.87256,0.0,906.3477,1412.3215,537.2252,1847.481,0.0,0.0,0.0,81.12372,140.40976,232.44041,2183.9927,1865.8956,3384.8054,1199.2617,1078.7805,1374.4307,406.84756,2135.3027,376.22092,778.4489,329.5757,1109.7848,0.0,1276.3798,0.0,0.0,258.79852,145.85956,502.03818,1206.7356,1141.1156,2031.7717,414.63257,521.7916,642.86176,1475.8494,962.1524,0.0,53.45927,527.1481,1136.1992,2096.0044,137.8828,0.0,1603.533,385.10287,2031.117,64.19357,0.0,2015.9071,1,BIOKEY_28
